,Name of Novel,Author,Ratings
0,Pride and Prejudice,Jane Austen,4.28
1,Animal Farm,George Orwell,3.98
2,Jane Eyre,Charlotte Brontë,4.14
3,The Diary of a Young Girl,Anne Frank,4.19
4,The Adventures of Huckleberry Finn,Mark Twain,3.83
5,The Great Gatsby,F. Scott Fitzgerald,3.93
6,Wuthering Heights,Emily Brontë,3.88
7,Alice in Wonderland,Jane Carruth,4.03
8,All Quiet on the Western Front,Erich Maria Remarque,4.06
9,Anna Karenina,Leo Tolstoy,4.08
10,Hamlet,William Shakespeare,4.02
11,Madame Bovary,Gustave Flaubert,3.7
12,Catch-22,Joseph Heller,3.99
13,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23
14,A Midsummer Night's Dream,William Shakespeare,3.95
15,1984,George Orwell,4.19
16,The Lord of the Rings,J.R.R. Tolkien,4.52
17,Brave New World,Aldous Huxley,3.99
18,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.23
19,Les Liaisons dangereuses,Pierre Choderlos de Laclos,4.06
20,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.13
21,This Changes Everything: Capitalism vs. The Climate,Naomi Klein,4.16
22,Corelli's Mandolin,Louis de Bernières,4.01
23,In Cold Blood,Truman Capote,4.08
24,A Room with a View,E.M. Forster,3.9
25,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.16
26,The Scarlet Letter,Nathaniel Hawthorne,3.43
27,"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",Lewis Carroll,4.02
28,Emma,Jane Austen,4.04
29,"Watership Down (Watership Down, #1)",Richard  Adams,4.08
30,The Complete Sherlock Holmes,Arthur Conan Doyle,4.5
31,Charlotte's Web,E.B. White,4.19
32,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,3.9
33,The Wind in the Willows,Kenneth Grahame,4
34,Pippi Longstocking,Astrid Lindgren,4.15
35,The Histories,Tacitus,4.13
36,Vanity Fair,William Makepeace Thackeray,3.8
37,Death of a Salesman,Arthur  Miller,3.57
38,The Count of Monte Cristo,Alexandre Dumas,4.29
39,Fathers and Sons,Ivan Turgenev,3.99
40,The Portrait of a Lady,Henry James,3.79
41,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4.04
42,A Short History of Nearly Everything,Bill Bryson,4.21
43,"Oedipus Rex  (The Theban Plays, #1)",Sophocles,3.72
44,"I, Claudius",Robert Graves,4.24
45,Great Expectations,Charles Dickens,3.79
46,Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,4.35
47,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09
48,A Farewell to Arms,Ernest Hemingway,3.81
49,Possession. A romance,A.S. Byatt,3.89
50,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47
51,Rebecca,Daphne du Maurier,4.24
52,Shakespeare's Sonnets,William Shakespeare,4.25
53,Gulliver's Travels,Jonathan Swift,3.58
54,The Fall of the House of Usher and Other Tales,Edgar Allan Poe,4.17
55,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.24
56,A Little Princess,Frances Hodgson Burnett,4.22
57,Robinson Crusoe,Daniel Defoe,3.68
58,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.27
59,Walden,Henry David Thoreau,3.78
60,"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.28
61,"Gaudy Night (Lord Peter Wimsey, #10)",Dorothy L. Sayers,4.2
62,Birdsong,Sebastian Faulks,4.1
63,History of the Peloponnesian War,Thucydides,3.92
64,Le Grand Meaulnes,Alain-Fournier,3.72
65,The Histories,Herodotus,3.99
66,"Dune (Dune, #1)",Frank Herbert,4.26
67,The Arabian Nights,Anonymous,4.04
68,The Little Prince,Antoine de Saint-Exupéry,4.32
69,Bleak House,Charles Dickens,4.01
70,The Thin Man,Dashiell Hammett,3.92
71,1066 and All That: A Memorable History of England,W.C. Sellar,3.94
72,The Sword of Honour Trilogy,Evelyn Waugh,4.22
73,The Decline and Fall of the Roman Empire,Edward Gibbon,4.01
74,The Good Soldier Švejk,Jaroslav Hašek,4.09
75,The Spy Who Came in from the Cold,John le Carré,4.08
76,"The Sword in the Stone (The Once and Future King, #1)",T.H. White,3.89
77,The Scarlet Pimpernel,Emmuska Orczy,4.07
78,The Battle for Spain: The Spanish Civil War 1936-1939,Antony Beevor,3.91
79,Just So Stories,Rudyard Kipling,4.06
80,"The Daughter of Time (Inspector Alan Grant, #5)",Josephine Tey,3.91
81,"Love in a Cold Climate (Radlett and Montdore, #2)",Nancy Mitford,3.82
82,"The Nine Tailors (Lord Peter Wimsey, #9)",Dorothy L. Sayers,4.03
83,A Handful of Dust,Evelyn Waugh,3.9
84,Norwegian Wood,Haruki Murakami,4.02
85,The Making of the Middle Ages,Richard William Southern,4.01
86,Lucky Jim,Kingsley Amis,3.75
87,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,3.97
88,Cranford,Elizabeth Gaskell,3.84
89,"I, Robot (Robot, #0.1)",Isaac Asimov,4.21
90,Childhood's End,Arthur C. Clarke,4.12
91,The Suspicions Of Mr Whicher,Kate Summerscale,3.51
92,For Whom the Bell Tolls,Ernest Hemingway,3.98
93,Europe: A History,Norman Davies,4.2
94,Hitler,Ian Kershaw,4.35
95,Citizens: A Chronicle of the French Revolution,Simon Schama,4.01
96,"Regeneration (Regeneration, #1)",Pat Barker,4.02
97,Testament of Youth,Vera Brittain,4.1
98,Fatherland,Robert   Harris,4
99,Peter the Great: His Life and World,Robert K. Massie,4.13
